feature_key,en,hu,de,ro,sr,hr,sk
24-7-2,🔒 24/7,🔒 24/7,🔒 24/7,🔒 24/7,🔒 24/7,🔒 24/7,🔒 24/7
24-7-cctv,🔒 24/7 CCTV,🔒 24/7 CCTV,🔒 24/7 CCTV,🔒 24/7 CCTV,🔒 24/7 CCTV,🔒 24/7 CCTV,🔒 24/7 CCTV
24-7-guards,🕐 24/7 Guards,🕐 24/7 őrzött,🕐 24/7 bewacht,🕐 Pază non-stop,🕐 Obezbeđenje 24/7,🕐 Zaštita 24/7,🕐 Strážená 24/7
24-7-on-demand,🕐 24/7 On-Demand,🕐 24/7 igény szerint,🕐 24/7 auf Anfrage,🕐 La cerere non-stop,🕐 24/7 na zahtev,🕐 24/7 na zahtjev,🕐 24/7 na požiadanie
24-7-staff,🕐 24/7 Staff,🕐 24/7 személyzet,🕐 Personal 24/7,🕐 Personal non-stop,🕐 Osoblje 24/7,🕐 Osoblje 24/7,🕐 Personál 24/7
best-for-long-stays,🗓️ Best for Long Stays,⭐ Hosszabb tartózkodáshoz,⭐ Ideal für längere Aufenthalte,⭐ Ideal pentru sejur lung,⭐ Za duže boravke,⭐ Za duže boravke,⭐ Najlepšie pre dlhšie pobyty
best-value,🏆 Best Value,🏆 Legjobb ár-érték,🏆 Bestes Preis-Leistungs-Verhältnis,🏆 Raport calitate-preț,🏆 Najbolji odnos,🏆 Najbolja vrijednost,🏆 Najlepší pomer
car-wash,🚿 Car Wash,🚿 Autómosó,🚿 Autowäsche,🚿 Spălătorie auto,🚿 Perionica,🚿 Autopraonica,🚿 Umyváreň
cctv,🔒 CCTV,🔒 CCTV,🔒 CCTV,🔒 CCTV,🔒 CCTV,🔒 CCTV,🔒 CCTV
cctv-24-7,🔒 CCTV 24/7,🔒 CCTV 24/7,🔒 CCTV 24/7,🔒 CCTV non-stop,🔒 CCTV 24/7,🔒 CCTV 24/7,🔒 CCTV 24/7
cheapest-official,💰 Cheapest Official,💰 Legolcsóbb hivatalos,💰 Günstigste offizielle,💰 Cea mai ieftină oficială,💰 Najjeftinije zvanično,💰 Najjeftinije službeno,💰 Najlacnejšia oficiálna
covered,☂️ Covered,☂️ Fedett,☂️ Überdacht,☂️ Acoperit,☂️ Natkriveno,☂️ Natkriveno,☂️ Krytá
covered-garage,🏠 Covered Garage,🏠 Fedett garázs,🏠 Überdachte Garage,🏠 Garaj acoperit,🏠 Natkrivena garaža,🏠 Natkrivena garaža,🏠 Krytá garáž
covered-path,🏠 Covered Path,🏠 Fedett átjáró,🏠 Überdachter Weg,🏠 Cale acoperită,🏠 Natkrivena staza,🏠 Natkrivena staza,🏠 Krytá cesta
ev-chargers,⚡ EV Chargers,⚡ EV-töltők,⚡ EV-Ladesäulen,⚡ Încărcătoare EV,⚡ Punjači EV,⚡ Punjači EV,⚡ Nabíjačky EV
ev-charging,⚡ EV Charging,⚡ EV-töltés,⚡ EV-Laden,⚡ Încărcare EV,⚡ Punjenje EV,⚡ Punjenje EV,⚡ Nabíjanie EV
fenced-cctv,🔒 Fenced & CCTV,🔒 Kerített és CCTV,🔒 Eingezäunt & CCTV,🔒 Împrejmuit & CCTV,🔒 Ograđeno & CCTV,🔒 Ograđeno i CCTV,🔒 Oplotená a CCTV
first-5-min-free,✨ First 5 min FREE,✨ Első 5 perc INGYENES,✨ Erste 5 Min KOSTENLOS,✨ Primele 5 min GRATUIT,✨ Prvih 5 min BESPLATNO,✨ Prvih 5 min BESPLATNO,✨ Prvých 5 min ZDARMA
flight-tracking,✈️ Flight Tracking,✈️ Járatkövetés,✈️ Flugverfolgung,✈️ Urmărire zbor,✈️ Praćenje leta,✈️ Praćenje leta,✈️ Sledovanie letu
free-shuttle,🚐 Free Shuttle,🚐 Ingyenes transzfer,🚐 Kostenloser Shuttle,🚐 Navetă gratuită,🚐 Besplatni prevoz,🚐 Besplatni prijevoz,🚐 Bezplatný shuttle
free-wifi,📶 Free WiFi,📶 Ingyenes WiFi,📶 Kostenloses WLAN,📶 WiFi gratuit,📶 Besplatni WiFi,📶 Besplatni WiFi,📶 Bezplatné WiFi
guarded,🔒 Guarded,🔒 Őrzött,🔒 Bewacht,🔒 Păzit,🔒 Pod nadzorom,🔒 Pod zaštitom,🔒 Strážená
monitored,🔒 Monitored,🔒 Felügyelt,🔒 Überwacht,🔒 Monitorizat,🔒 Nadzirano,🔒 Nadzirano,🔒 Monitorovaná
online-booking,💻 Online Booking,💻 Online foglalás,💻 Online-Buchung,💻 Rezervare online,💻 Online rezervacija,💻 Online rezervacija,💻 Online rezervácia
pay-on-arrival,💳 Pay on Arrival,💳 Fizetés érkezéskor,💳 Bezahlen bei Ankunft,💳 Plată la sosire,💳 Plaćanje pri dolasku,💳 Plaćanje pri dolasku,💳 Platba pri príchode
popular-choice,⭐ Popular Choice,⭐ Népszerű választás,⭐ Beliebte Wahl,⭐ Alegere populară,⭐ Popularan izbor,⭐ Popularan izbor,⭐ Obľúbená voľba
premium,⭐ Premium,⭐ Prémium,⭐ Premium,⭐ Premium,⭐ Premium,⭐ Premium,⭐ Premium
secured,🔒 Secured,🔒 Biztonságos,🔒 Gesichert,🔒 Securizat,🔒 Obezbeđeno,🔒 Osigurano,🔒 Zabezpečená
vip-transfer-2,🚐 VIP Transfer,🚐 VIP transzfer,🚐 VIP-Transfer,🚐 Transfer VIP,🚐 VIP transfer,🚐 VIP transfer,🚐 VIP transfer
