lot,type,source_url,current_rate_ft,current_unit,current_is_estimate,from_ft_per_day,till_ft_per_day,max_bookable_days,checked_on,notes
Premium Parking,official,https://parkolo.bud.hu/en/,600,5min,no,,,,,
Terminal Parking,official,https://parkolo.bud.hu/en/,450,5min,no,,,,,
City Break Parking,official,https://parkolo.bud.hu/en/,8400,day,no,,,,,
Holiday Parking,official,https://parkolo.bud.hu/en/,6700,day,no,,,,,
Smart Parking,official,https://parkolo.bud.hu/en/,5500,day,yes,,,,,
Best Parking Budapest,offsite,https://www.bestparking.hu/en/,2900,day,no,,,,,
myBUD Parking,offsite,https://en.mybudparking.hu/,2500,day,no,,,,,
BUDCAR Parking,offsite,https://en.budcarparking.hu/,8000,day,no,,,,,
Reptér Parkoló,offsite,https://www.budapestrepterparkolo.hu/en/,2200,day,no,,,,,
Safe Parking,offsite,https://safeparking.hu/en/,2400,day,no,,,,,
Parkoló Mester,offsite,http://www.en.parkolomester.com/,2800,day,no,,,,,
ParkFly,offsite,https://ferihegyparkolas.eu/en/,2300,day,no,,,,,
Reptéri Parkoló Centrum,offsite,https://repteriparkolocentrum.hu/en/,2200,day,no,,,,,
Zoka Reptéri Parkoló,offsite,https://zokarepteriparkolo.hu,1800,day,yes,,,,,
Repteres Parkoló,offsite,https://repteresparkolo.hu,1900,day,yes,,,,,
PK Reptér Parkoló,offsite,https://pkrepterparkolo.com/,2100,day,yes,,,,,
NOA Parking,offsite,https://noaparking.hu,1900,day,yes,,,,,
Ferihegy Airport Parking,offsite,https://www.repterparkolo.hu,2000,day,yes,,,,,
Budapest Airport Parking,offsite,https://budapestairportparking.hu/,1800,day,yes,,,,,
VIP Parking,offsite,https://www.vip-parking.hu/,2800,day,yes,,,,,
Sky Parking,offsite,https://skyparking.hu/hu/fooldal,1800,day,yes,,,,,
Reptéri Parkolás,offsite,https://repteriparkolas.com/,1700,day,yes,,,,,
ABC Parking,offsite,https://abcparking.hu/,1990,day,yes,,,,,
Park Central Airport,offsite,https://parkcentralairport.hu/,1900,day,yes,,,,,
Dobro Car Parking,offsite,http://dobrocarparking.hu/,1700,day,yes,,,,,
FAP,offsite,https://fedettrepterparkolo.hu/,2200,day,yes,,,,,
Repteri Parkolas,offsite,http://repteri-parkolas.hu/,1600,day,yes,,,,,
Hungária Parkoló,offsite,http://hungariaparkolo.hu/,1800,day,yes,,,,,
Nemzeti Parkoló,offsite,https://nemzetiparkolo.hu/,1750,day,yes,,,,,
Őrzött Reptéri Parkoló,offsite,https://orzottrepteriparkolo.hu/,1900,day,yes,,,,,
Európa Parkoló,offsite,http://www.europaparkolo.hu/,1850,day,yes,,,,,
Comfort Parkoló,offsite,https://ferihegyfedettparkolo.hu/,2000,day,yes,,,,,
Reptéri Parkoló.com,offsite,https://www.repteriparkolo.com/,1800,day,yes,,,,,
